Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Internal Stds_neg,180821_Poo_Day1and2Poo_Half1,"Adenosine Monophosphate, 15N5",12.16,8842450,0,661386,2.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half2,"Adenosine Monophosphate, 15N5",12.3,4614730,0,287835,1.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half3,"Adenosine Monophosphate, 15N5",12.24,5888889,0,451424,2.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half4,"Adenosine Monophosphate, 15N5",12.1,6079085,0,369097,1.5,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half5,"Adenosine Monophosphate, 15N5",11.87,10304485,0,434626,1.5,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half6,"Adenosine Monophosphate, 15N5",11.76,12770944,0,583315,1.1,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_1,"Adenosine Monophosphate, 15N5",12.36,8289876,0,649227,1.9,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_2,"Adenosine Monophosphate, 15N5",12.3,9399337,0,707304,1.8,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_3,"Adenosine Monophosphate, 15N5",12.25,10003703,0,857955,2.1,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_4,"Adenosine Monophosphate, 15N5",12.28,10886149,0,853707,1.5,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_5,"Adenosine Monophosphate, 15N5",11.98,18639972,0,1013003,1.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_6,"Adenosine Monophosphate, 15N5",11.9,20986408,0,960275,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C215m_A,"Adenosine Monophosphate, 15N5",12.45,8196139,88633,627070,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C215m_B,"Adenosine Monophosphate, 15N5",11.72,26310718,0,1129758,0.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C215m_C,"Adenosine Monophosphate, 15N5",12.15,12856995,0,679843,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2175m_A,"Adenosine Monophosphate, 15N5",11.64,26583064,0,892317,0.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2175m_B,"Adenosine Monophosphate, 15N5",11.93,21066738,0,1183354,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2175m_C,"Adenosine Monophosphate, 15N5",12.37,10740614,0,690653,2.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2DCM_A,"Adenosine Monophosphate, 15N5",11.89,21338338,0,1067717,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2DCM_B,"Adenosine Monophosphate, 15N5",11.69,21572154,4861703,888217,0.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2DCM_C,"Adenosine Monophosphate, 15N5",11.89,22563810,12395,1131523,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C215m_A,"Adenosine Monophosphate, 15N5",12.24,10953169,0,795966,2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C215m_B,"Adenosine Monophosphate, 15N5",12.29,10689097,0,804297,2.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C215m_C,"Adenosine Monophosphate, 15N5",12.27,12000162,0,801362,2.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C2175m_A,"Adenosine Monophosphate, 15N5",11.93,18405982,0,1178747,0.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C2175m_B,"Adenosine Monophosphate, 15N5",12.28,11939412,0,766725,2.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C2175m_C,"Adenosine Monophosphate, 15N5",12.1,13238941,0,884849,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C2DCM_A,"Adenosine Monophosphate, 15N5",11.99,17376234,0,925721,0.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C2DCM_B,"Adenosine Monophosphate, 15N5",12.39,9013655,0,648305,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C2DCM_C,"Adenosine Monophosphate, 15N5",11.87,20240612,0,986167,1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C115m_A,"Adenosine Monophosphate, 15N5",11.93,20821148,47403,1095119,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C115m_B,"Adenosine Monophosphate, 15N5",11.75,26543358,0,1121272,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C115m_C,"Adenosine Monophosphate, 15N5",12.01,15287091,0,854256,0.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C1175m_A,"Adenosine Monophosphate, 15N5",12.38,9118268,0,658317,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C1175m_B,"Adenosine Monophosphate, 15N5",11.92,24192446,0,1188324,1.7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C1175m_C,"Adenosine Monophosphate, 15N5",12.12,13825760,0,915971,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C1DCM_A,"Adenosine Monophosphate, 15N5",12.28,9585391,0,756788,2.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C1DCM_B,"Adenosine Monophosphate, 15N5",11.95,15343022,0,910633,0.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS12C1DCM_C,"Adenosine Monophosphate, 15N5",11.95,16833870,0,966012,0.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C2175m_A,"Adenosine Monophosphate, 15N5",12.3,9438089,0,673671,2.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C2175m_B,"Adenosine Monophosphate, 15N5",12.28,11213577,0,766420,2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C2175m_C,"Adenosine Monophosphate, 15N5",12.15,12271151,360670,824860,1.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C2DCM_A,"Adenosine Monophosphate, 15N5",12.22,10897167,0,780226,2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C2DCM_B,"Adenosine Monophosphate, 15N5",12.09,13191310,0,857884,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C2DCM_C,"Adenosine Monophosphate, 15N5",12.13,10923299,0,721524,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C315m_A,"Adenosine Monophosphate, 15N5",11.98,15233675,0,762500,0.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C315m_B,"Adenosine Monophosphate, 15N5",12.36,9943547,0,690826,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS13C315m_C,"Adenosine Monophosphate, 15N5",11.89,16713338,0,823232,0.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C215m_A,"Adenosine Monophosphate, 15N5",11.73,28835996,0,997823,1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C215m_B,"Adenosine Monophosphate, 15N5",12.21,11288120,0,855488,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C215m_C,"Adenosine Monophosphate, 15N5",12.16,11756689,0,779551,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C2175m_A,"Adenosine Monophosphate, 15N5",12.21,11157493,0,704812,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C2175m_B,"Adenosine Monophosphate, 15N5",11.87,21139266,1072881,1075756,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C2175m_C,"Adenosine Monophosphate, 15N5",12.3,8838860,61310,747424,2.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C2DCM_A,"Adenosine Monophosphate, 15N5",12.33,10065917,0,741245,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C2DCM_B,"Adenosine Monophosphate, 15N5",11.75,28141748,0,1332872,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS14C2DCM_C,"Adenosine Monophosphate, 15N5",12.2,23365280,0,1661777,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C115m_A,"Adenosine Monophosphate, 15N5",12.25,17256370,0,1387179,2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C115m_B,"Adenosine Monophosphate, 15N5",11.9,21467678,0,1138917,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C115m_C,"Adenosine Monophosphate, 15N5",11.66,22063542,0,879156,1.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C1175m_A,"Adenosine Monophosphate, 15N5",12.35,8244179,52636,713039,2.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C1175m_B,"Adenosine Monophosphate, 15N5",12.27,11570692,0,803438,2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C1175m_C,"Adenosine Monophosphate, 15N5",11.95,13243525,0,755212,0.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C1DCM_A,"Adenosine Monophosphate, 15N5",12.29,11030934,0,827277,2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C1DCM_B,"Adenosine Monophosphate, 15N5",12.36,8530699,0,680705,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS4C1DCM_C,"Adenosine Monophosphate, 15N5",12.19,11123068,0,778174,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C115m_A,"Adenosine Monophosphate, 15N5",11.92,17152450,0,898148,0.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C115m_B,"Adenosine Monophosphate, 15N5",12.39,10365687,0,766518,1.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C115m_C,"Adenosine Monophosphate, 15N5",12.16,12132859,0,809561,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C1175m_A,"Adenosine Monophosphate, 15N5",12.38,10286818,0,760829,2.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C1175m_B,"Adenosine Monophosphate, 15N5",12.07,12887563,0,700553,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C1175m_C,"Adenosine Monophosphate, 15N5",11.7,28543340,0,993582,1.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C1DCM_A,"Adenosine Monophosphate, 15N5",11.97,19997172,0,1156642,0.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C1DCM_B,"Adenosine Monophosphate, 15N5",12.3,17372378,0,1265680,1.7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS5C1DCM_C,"Adenosine Monophosphate, 15N5",11.73,30255452,0,1384526,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C315m_A,"Adenosine Monophosphate, 15N5",12.25,12386972,0,907830,1.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C315m_B,"Adenosine Monophosphate, 15N5",12.19,13085197,0,804633,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C315m_C,"Adenosine Monophosphate, 15N5",12.12,12716977,0,826882,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C3175m_A,"Adenosine Monophosphate, 15N5",11.69,23881286,3903128,1023180,1.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C3175m_B,"Adenosine Monophosphate, 15N5",11.92,23272032,0,1150464,1.4,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C3175m_C,"Adenosine Monophosphate, 15N5",12.37,17008194,0,1326721,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C3DCM_A,"Adenosine Monophosphate, 15N5",12.33,10584521,0,880334,1.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C3DCM_B,"Adenosine Monophosphate, 15N5",12.42,10563460,0,797784,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS6C3DCM_C,"Adenosine Monophosphate, 15N5",12.01,18716848,0,1190044,0.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C115m_A,"Adenosine Monophosphate, 15N5",12.21,12033774,0,788790,1.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C115m_B,"Adenosine Monophosphate, 15N5",12.43,16255810,0,1448192,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C115m_C,"Adenosine Monophosphate, 15N5",12.21,10324066,0,750215,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C1175m_A,"Adenosine Monophosphate, 15N5",12.17,12277790,0,771979,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C1175m_B,"Adenosine Monophosphate, 15N5",12.38,9977331,0,786028,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C1175m_C,"Adenosine Monophosphate, 15N5",12.23,11338407,0,777347,2.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C1DCM_A,"Adenosine Monophosphate, 15N5",12.25,11578331,0,862510,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C1DCM_B,"Adenosine Monophosphate, 15N5",12.18,12745094,0,737284,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS7C1DCM_C,"Adenosine Monophosphate, 15N5",11.99,14970956,0,876317,0.7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C115m_A,"Adenosine Monophosphate, 15N5",12.18,11801698,56426,849979,1.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C115m_B,"Adenosine Monophosphate, 15N5",12.41,11583431,0,772425,1.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C115m_C,"Adenosine Monophosphate, 15N5",11.87,26590660,0,1193357,1.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C1175m_A,"Adenosine Monophosphate, 15N5",11.76,25014440,0,1058088,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C1175m_B,"Adenosine Monophosphate, 15N5",11.93,37090872,0,2025072,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C1175m_C,"Adenosine Monophosphate, 15N5",11.76,27095868,0,1284415,1.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C1DCM_A,"Adenosine Monophosphate, 15N5",11.7,21946734,5247230,950895,0.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C1DCM_B,"Adenosine Monophosphate, 15N5",11.73,30246724,0,1414966,1.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS8C1DCM_C,"Adenosine Monophosphate, 15N5",12.41,10185766,0,778791,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C215m_A,"Adenosine Monophosphate, 15N5",12.25,11559682,0,850543,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C215m_B,"Adenosine Monophosphate, 15N5",11.7,27097836,0,1148744,0.7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C215m_C,"Adenosine Monophosphate, 15N5",12.31,9873304,0,794502,1.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C2175m_A,"Adenosine Monophosphate, 15N5",11.87,24921118,0,1237178,1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C2175m_B,"Adenosine Monophosphate, 15N5",12.24,10927059,0,792083,1.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C2175m_C,"Adenosine Monophosphate, 15N5",12.44,8922092,0,676665,1.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C2DCM_A,"Adenosine Monophosphate, 15N5",11.84,32138570,0,1368788,1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C2DCM_B,"Adenosine Monophosphate, 15N5",12.37,9491260,0,842159,2.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS9C2DCM_C,"Adenosine Monophosphate, 15N5",11.73,30095704,0,1355168,1,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InH2O_1,"Isethionic Acid, 13C2",7.1,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InH2O_2,"Isethionic Acid, 13C2",7.02,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InH2O_3,"Isethionic Acid, 13C2",6.95,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InMatrix_1,"Isethionic Acid, 13C2",7.73,14526596,0,600080,-7.7,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InMatrix_2,"Isethionic Acid, 13C2",7.04,26388694,0,949537,-8.6,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix1InMatrix_3,"Isethionic Acid, 13C2",6.22,48460436,0,1900078,-8.1,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InH2O_1,"Isethionic Acid, 13C2",6.97,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InH2O_2,"Isethionic Acid, 13C2",6.96,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InH2O_3,"Isethionic Acid, 13C2",7.04,0,0,0,#N/A,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InMatrix_1,"Isethionic Acid, 13C2",7.76,13138912,0,508139,-7.2,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InMatrix_2,"Isethionic Acid, 13C2",7.1,29840680,0,979699,-8.4,Internal Stds_neg
Internal Stds_neg,180821_Std_4uMStdsMix2InMatrix_3,"Isethionic Acid, 13C2",6.31,44524568,0,1413485,-8.3,Internal Stds_neg
Internal Stds_neg,180821_Std_H2OInMatrix_1,"Isethionic Acid, 13C2",7.74,17765512,0,636561,-7,Internal Stds_neg
Internal Stds_neg,180821_Std_H2OInMatrix_2,"Isethionic Acid, 13C2",7.02,38228296,0,1414877,-8.6,Internal Stds_neg
Internal Stds_neg,180821_Std_H2OInMatrix_3,"Isethionic Acid, 13C2",6.17,54857328,0,1572209,-8,Internal Stds_neg
Internal Stds_neg,180821_Blk_FilterBlank_1,"Isethionic Acid, 13C2",6.52,67204888,0,6640450,-7.8,Internal Stds_neg
Internal Stds_neg,180821_Blk_MQBlk_1,"Isethionic Acid, 13C2",7.78,14651310,0,1461614,-6.7,Internal Stds_neg
Internal Stds_neg,180821_Blk_MQBlk_2,"Isethionic Acid, 13C2",7.6,23205734,0,2670838,-7.9,Internal Stds_neg
Internal Stds_neg,180821_Blk_MQBlk_3,"Isethionic Acid, 13C2",7.04,51568976,0,7446916,-7.9,Internal Stds_neg
Internal Stds_neg,180821_Blk_SWBlk_1,"Isethionic Acid, 13C2",7.76,17078466,0,648617,-6.9,Internal Stds_neg
Internal Stds_neg,180821_Blk_SWBlk_2,"Isethionic Acid, 13C2",7.52,27998180,0,1118957,-7.5,Internal Stds_neg
Internal Stds_neg,180821_Blk_SWBlk_3,"Isethionic Acid, 13C2",6.87,55386320,0,1869023,-7.9,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full1,"Isethionic Acid, 13C2",7.79,14692212,0,555532,-6.8,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full2,"Isethionic Acid, 13C2",7.74,12618585,0,585200,-7.1,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full3,"Isethionic Acid, 13C2",7.6,22413856,0,863420,-6.8,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full4,"Isethionic Acid, 13C2",7.42,29269602,0,1055855,-7.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full5,"Isethionic Acid, 13C2",6.81,56062208,0,1977478,-7.6,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Full6,"Isethionic Acid, 13C2",6.59,53829568,0,1721802,-7.7,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half1,"Isethionic Acid, 13C2",7.76,7532530,0,370449,-6.6,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half2,"Isethionic Acid, 13C2",7.79,6770791,0,286998,-7.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half3,"Isethionic Acid, 13C2",7.62,10217109,0,479245,-6.9,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half4,"Isethionic Acid, 13C2",7.42,13911031,0,716658,-7.6,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half5,"Isethionic Acid, 13C2",6.84,31654382,0,1181304,-7.5,Internal Stds_neg
Internal Stds_neg,180821_Poo_Day1and2Poo_Half6,"Isethionic Acid, 13C2",6.59,30391868,0,909871,-7.8,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_1,"Isethionic Acid, 13C2",7.76,14427847,0,562188,-7.5,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_2,"Isethionic Acid, 13C2",7.77,16422403,0,786043,-7.1,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_3,"Isethionic Acid, 13C2",7.62,24364504,0,1075209,-6.9,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_4,"Isethionic Acid, 13C2",7.51,28581544,0,1362478,-7.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_5,"Isethionic Acid, 13C2",6.85,57540980,0,2536960,-7.4,Internal Stds_neg
Internal Stds_neg,180821_Poo_MesoScopeQC_6,"Isethionic Acid, 13C2",6.62,56969952,0,2519204,-7.7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C215m_A,"Isethionic Acid, 13C2",7.84,13382501,0,422533,-7.2,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C215m_B,"Isethionic Acid, 13C2",6.42,62193324,0,2860809,-7.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C215m_C,"Isethionic Acid, 13C2",7.68,28037274,0,2386323,-7.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2175m_A,"Isethionic Acid, 13C2",6.49,59622708,0,3762340,-8.1,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2175m_B,"Isethionic Acid, 13C2",6.88,60123188,0,1931777,-7.6,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2175m_C,"Isethionic Acid, 13C2",7.7,17950546,0,792370,-7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2DCM_A,"Isethionic Acid, 13C2",7.05,53322216,0,3462634,-7.3,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2DCM_B,"Isethionic Acid, 13C2",6.36,60362200,0,1795385,-7.9,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS10C2DCM_C,"Isethionic Acid, 13C2",6.85,54995820,0,1765475,-7.5,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C215m_A,"Isethionic Acid, 13C2",7.72,44293324,0,2378206,-6.8,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C215m_B,"Isethionic Acid, 13C2",7.74,14336478,0,623228,-6.7,Internal Stds_neg
Internal Stds_neg,180821_Smp_MS11C215m_C,"Isethionic Acid, 13C2",7.65,21457046,0,852658,-6.7,Internal Stds_neg
